artist_names,rank,song_name,week
Demi Lovato,32,Confident,2015-11-28
Wiz Khalifa Featuring Charlie Puth,33,See You Again,2015-11-28
OMI,34,Cheerleader,2015-11-28
Fetty Wap Featuring Monty,35,My Way,2015-11-28
Mark Ronson Featuring Bruno Mars,36,Uptown Funk!,2015-11-28
Ed Sheeran,37,Photograph,2015-11-28
Calvin Harris & Disciples,38,How Deep Is Your Love,2015-11-28
WALK THE MOON,39,Shut Up And Dance,2015-11-28
One Direction,40,Perfect,2015-11-28
Fetty Wap,41,Again,2015-11-28
Bryson Tiller,42,Don't,2015-11-28
Sam Hunt,43,Break Up In A Small Town,2015-11-28
Chris Young,44,I'm Comin' Over,2015-11-28
Ed Sheeran,45,Thinking Out Loud,2015-11-28
Carrie Underwood,46,Smoke Break,2015-11-28
Rachel Platten,47,Fight Song,2015-11-28
Rudimental Featuring Ed Sheeran,48,Lay It All On Me,2015-11-28
Skrillex & Diplo With Justin Bieber,49,Where Are U Now,2015-11-28
J. Cole,50,No Role Modelz,2015-11-28
Cam,51,Burning House,2015-11-28
Luke Bryan,52,Strip It Down,2015-11-28
Old Dominion,53,Break Up With Him,2015-11-28
DeJ Loaf Featuring Big Sean,54,Back Up,2015-11-28
Coldplay,55,Adventure Of A Lifetime,2015-11-28
Drake,56,Back To Back,2015-11-28
Tory Lanez,57,Say It,2015-11-28
Rae Sremmurd,58,Come Get Her,2015-11-28
Blake Shelton,59,Gonna,2015-11-28
Cole Swindell,60,Let Me See Ya Girl,2015-11-28
DLOW,61,Do It Like Me,2015-11-28
Dan + Shay,62,Nothin' Like You,2015-11-28
Ty Dolla $ign Featuring Future & Rae Sremmurd,63,Blase,2015-11-28
The Chainsmokers Featuring Rozes,64,Roses,2015-11-28
One Direction,65,History,2015-11-28
Nelly Featuring Jeremih,66,The Fix,2015-11-28
Hailee Steinfeld,67,Love Myself,2015-11-28
Chris Brown,68,Liquor,2015-11-28
twenty one pilots,69,Stressed Out,2015-11-28
Drake & Future,70,Big Rings,2015-11-28
Daya,71,Hide Away,2015-11-28
Brothers Osborne,72,Stay A Little Longer,2015-11-28
Sam Smith,73,Writing's On The Wall,2015-11-28
Jason Aldean,74,Gonna Know We Were Here,2015-11-28
Sia,75,Alive,2015-11-28
Bryson Tiller,76,Exchange,2015-11-28
Jana Kramer,77,I Got The Boy,2015-11-28
Drake,78,Right Hand,2015-11-28
Florida Georgia Line,79,Anything Goes,2015-11-28
Tim McGraw,80,Top Of The World,2015-11-28
Demi Lovato,81,Cool For The Summer,2015-11-28
K Camp,82,Comfortable,2015-11-28
Kenny Chesney,83,Save It For A Rainy Day,2015-11-28
Fetty Wap,84,RGF Island,2015-11-28
Drake & Future,85,Diamonds Dancing,2015-11-28
DNCE,86,Cake By The Ocean,2015-11-28
Chris Stapleton,87,Traveller,2015-11-28
Jordan Smith,88,Halo,2015-11-28
G-Eazy x Bebe Rexha,89,"Me, Myself & I",2015-11-28
LOCASH,90,I Love This Life,2015-11-28
Missy Elliott Featuring Pharrell Williams,91,WTF (Where They From),2015-11-28
Kelsea Ballerini,92,Dibs,2015-11-28
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,93,$ave Dat Money,2015-11-28
Rachel Platten,94,Stand By You,2015-11-28
Jess Glynne,95,Hold My Hand,2015-11-28
Flo Rida,96,My House,2015-11-28
J Balvin,97,Ginza,2015-11-28
Big Sean Featuring Chris Brown & Ty Dolla $ign,98,Play No Games,2015-11-28
Nick Jonas,99,Levels,2015-11-28
Zac Brown Band,100,Beautiful Drug,2015-11-28
Adele,1,Hello,2015-12-05
Justin Bieber,2,Sorry,2015-12-05
Drake,3,Hotline Bling,2015-12-05
Justin Bieber,4,Love Yourself,2015-12-05
Justin Bieber,5,What Do You Mean?,2015-12-05
The Weeknd,6,The Hills,2015-12-05
Shawn Mendes,7,Stitches,2015-12-05
Fetty Wap Featuring Remy Boyz,8,679,2015-12-05
Taylor Swift,9,Wildest Dreams,2015-12-05
Alessia Cara,10,Here,2015-12-05
Meghan Trainor Featuring John Legend,11,Like I'm Gonna Lose You,2015-12-05
Elle King,12,Ex's & Oh's,2015-12-05
Selena Gomez,13,Same Old Love,2015-12-05
Ariana Grande,14,Focus,2015-12-05
Ellie Goulding,15,On My Mind,2015-12-05
Drake & Future,16,Jumpman,2015-12-05
The Weeknd,17,Can't Feel My Face,2015-12-05
Silento,18,Watch Me,2015-12-05
Justin Bieber,19,I'll Show You,2015-12-05
R. City Featuring Adam Levine,20,Locked Away,2015-12-05
Major Lazer & DJ Snake Featuring MO,21,Lean On,2015-12-05
Missy Elliott Featuring Pharrell Williams,22,WTF (Where They From),2015-12-05
Travis Scott,23,Antidote,2015-12-05
Mark Ronson Featuring Bruno Mars,24,Uptown Funk!,2015-12-05
Thomas Rhett,25,Die A Happy Man,2015-12-05
X Ambassadors,26,Renegades,2015-12-05
iLoveMemphis,27,Hit The Quan,2015-12-05
Post Malone,28,White Iverson,2015-12-05
Fetty Wap,29,Trap Queen,2015-12-05
Jordan Smith,30,Great Is Thy Faithfulness,2015-12-05
Justin Bieber Featuring Halsey,31,The Feeling,2015-12-05
Selena Gomez Featuring A$AP Rocky,32,Good For You,2015-12-05
Chris Young,33,I'm Comin' Over,2015-12-05
Skrillex & Diplo With Justin Bieber,34,Where Are U Now,2015-12-05
Future Featuring Drake,35,Where Ya At,2015-12-05
Demi Lovato,36,Confident,2015-12-05
One Direction,37,Perfect,2015-12-05
Bryson Tiller,38,Don't,2015-12-05
Fetty Wap Featuring Monty,39,My Way,2015-12-05
One Direction,40,Drag Me Down,2015-12-05
Wiz Khalifa Featuring Charlie Puth,41,See You Again,2015-12-05
Justin Bieber,42,Mark My Words,2015-12-05
Justin Bieber,43,Purpose,2015-12-05
Sam Hunt,44,Break Up In A Small Town,2015-12-05
Fetty Wap,45,Again,2015-12-05
Ed Sheeran,46,Photograph,2015-12-05
OMI,47,Cheerleader,2015-12-05
Calvin Harris & Disciples,48,How Deep Is Your Love,2015-12-05
Justin Bieber Featuring Big Sean,49,No Pressure,2015-12-05
Rudimental Featuring Ed Sheeran,50,Lay It All On Me,2015-12-05
Tory Lanez,51,Say It,2015-12-05
J. Cole,52,No Role Modelz,2015-12-05
Justin Bieber,53,Company,2015-12-05
Justin Bieber Featuring Travi$ Scott,54,No Sense,2015-12-05
DeJ Loaf Featuring Big Sean,55,Back Up,2015-12-05
Carrie Underwood,56,Smoke Break,2015-12-05
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",57,Downtown,2015-12-05
Cam,58,Burning House,2015-12-05
DLOW,59,Do It Like Me,2015-12-05
Dan + Shay,60,Nothin' Like You,2015-12-05
Blake Shelton,61,Gonna,2015-12-05
The Chainsmokers Featuring Rozes,62,Roses,2015-12-05
Ty Dolla $ign Featuring Future & Rae Sremmurd,63,Blase,2015-12-05
Old Dominion,64,Break Up With Him,2015-12-05
Rae Sremmurd,65,Come Get Her,2015-12-05
Chris Stapleton,66,Tennessee Whiskey,2015-12-05
Justin Bieber,67,Life Is Worth Living,2015-12-05
Drake,68,Back To Back,2015-12-05
twenty one pilots,69,Stressed Out,2015-12-05
Luke Bryan,70,Strip It Down,2015-12-05
Nelly Featuring Jeremih,71,The Fix,2015-12-05
Coldplay,72,Adventure Of A Lifetime,2015-12-05
Jason Aldean,73,Gonna Know We Were Here,2015-12-05
Justin Bieber,74,Children,2015-12-05
Daya,75,Hide Away,2015-12-05
Drake & Future,76,Big Rings,2015-12-05
Brothers Osborne,77,Stay A Little Longer,2015-12-05
Bryson Tiller,78,Exchange,2015-12-05
Chris Brown,79,Liquor,2015-12-05
Cole Swindell,80,Let Me See Ya Girl,2015-12-05
Justin Bieber,81,Been You,2015-12-05
Jana Kramer,82,I Got The Boy,2015-12-05
One Direction,83,If I Could Fly,2015-12-05
Hailee Steinfeld,84,Love Myself,2015-12-05
Tim McGraw,85,Top Of The World,2015-12-05
The Weeknd,86,In The Night,2015-12-05
One Direction,87,Olivia,2015-12-05
Justin Bieber Featuring Nas,88,We Are,2015-12-05
G-Eazy x Bebe Rexha,89,"Me, Myself & I",2015-12-05
Justin Bieber,90,Get Used To It,2015-12-05
Drake,91,Right Hand,2015-12-05
LOCASH,92,I Love This Life,2015-12-05
DNCE,93,Cake By The Ocean,2015-12-05
One Direction,94,A.M.,2015-12-05
Fetty Wap,95,RGF Island,2015-12-05
One Direction,96,Temporary Fix,2015-12-05
Shawn Mendes & Camila Cabello,97,I Know What You Did Last Summer,2015-12-05
Justin Bieber,98,Trust,2015-12-05
Flo Rida,99,My House,2015-12-05
One Direction,100,Never Enough,2015-12-05
Adele,1,Hello,2015-12-12
Justin Bieber,2,Sorry,2015-12-12
Drake,3,Hotline Bling,2015-12-12
Justin Bieber,4,What Do You Mean?,2015-12-12
The Weeknd,5,The Hills,2015-12-12
Shawn Mendes,6,Stitches,2015-12-12
Justin Bieber,7,Love Yourself,2015-12-12
Meghan Trainor Featuring John Legend,8,Like I'm Gonna Lose You,2015-12-12
Fetty Wap Featuring Remy Boyz,9,679,2015-12-12
Alessia Cara,10,Here,2015-12-12
Selena Gomez,11,Same Old Love,2015-12-12
Elle King,12,Ex's & Oh's,2015-12-12
Taylor Swift,13,Wildest Dreams,2015-12-12
Silento,14,Watch Me,2015-12-12
Ellie Goulding,15,On My Mind,2015-12-12
Ariana Grande,16,Focus,2015-12-12
The Weeknd,17,Can't Feel My Face,2015-12-12
Drake & Future,18,Jumpman,2015-12-12
Major Lazer & DJ Snake Featuring MO,19,Lean On,2015-12-12
Travis Scott,20,Antidote,2015-12-12
Mark Ronson Featuring Bruno Mars,21,Uptown Funk!,2015-12-12
Adele,22,When We Were Young,2015-12-12
iLoveMemphis,23,Hit The Quan,2015-12-12
R. City Featuring Adam Levine,24,Locked Away,2015-12-12
Post Malone,25,White Iverson,2015-12-12
Fetty Wap,26,Trap Queen,2015-12-12
One Direction,27,Perfect,2015-12-12
Demi Lovato,28,Confident,2015-12-12
Thomas Rhett,29,Die A Happy Man,2015-12-12
One Direction,30,Drag Me Down,2015-12-12
Justin Bieber,31,I'll Show You,2015-12-12
Skrillex & Diplo With Justin Bieber,32,Where Are U Now,2015-12-12
Bryson Tiller,33,Don't,2015-12-12
Future Featuring Drake,34,Where Ya At,2015-12-12
Fetty Wap Featuring Monty,35,My Way,2015-12-12
Wiz Khalifa Featuring Charlie Puth,36,See You Again,2015-12-12
Tory Lanez,37,Say It,2015-12-12
X Ambassadors,38,Renegades,2015-12-12
Sam Hunt,39,Break Up In A Small Town,2015-12-12
Selena Gomez Featuring A$AP Rocky,40,Good For You,2015-12-12
Chris Young,41,I'm Comin' Over,2015-12-12
Fetty Wap,42,Again,2015-12-12
OMI,43,Cheerleader,2015-12-12
J. Cole,44,No Role Modelz,2015-12-12
DLOW,45,Do It Like Me,2015-12-12
Justin Bieber Featuring Halsey,46,The Feeling,2015-12-12
DeJ Loaf Featuring Big Sean,47,Back Up,2015-12-12
Ed Sheeran,48,Photograph,2015-12-12
Cam,49,Burning House,2015-12-12
Rudimental Featuring Ed Sheeran,50,Lay It All On Me,2015-12-12
The Chainsmokers Featuring Rozes,51,Roses,2015-12-12
Calvin Harris & Disciples,52,How Deep Is Your Love,2015-12-12
Coldplay,53,Adventure Of A Lifetime,2015-12-12
The Weeknd,54,In The Night,2015-12-12
Shawn Mendes & Camila Cabello,55,I Know What You Did Last Summer,2015-12-12
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",56,Downtown,2015-12-12
twenty one pilots,57,Stressed Out,2015-12-12
Dan + Shay,58,Nothin' Like You,2015-12-12
Carrie Underwood,59,Smoke Break,2015-12-12
Justin Bieber,60,Mark My Words,2015-12-12
Daya,61,Hide Away,2015-12-12
Justin Bieber,62,Purpose,2015-12-12
Blake Shelton,63,Gonna,2015-12-12
Rae Sremmurd,64,Come Get Her,2015-12-12
Luke Bryan,65,Strip It Down,2015-12-12
Nelly Featuring Jeremih,66,The Fix,2015-12-12
Drake,67,Back To Back,2015-12-12
Jason Aldean,68,Gonna Know We Were Here,2015-12-12
Brothers Osborne,69,Stay A Little Longer,2015-12-12
Adele,70,Water Under The Bridge,2015-12-12
Bryson Tiller,71,Exchange,2015-12-12
Missy Elliott Featuring Pharrell Williams,72,WTF (Where They From),2015-12-12
Justin Bieber,73,Company,2015-12-12
Justin Bieber Featuring Big Sean,74,No Pressure,2015-12-12
Drake & Future,75,Big Rings,2015-12-12
Ty Dolla $ign Featuring Future & Rae Sremmurd,76,Blase,2015-12-12
Gwen Stefani,77,Used To Love You,2015-12-12
Justin Bieber Featuring Travi$ Scott,78,No Sense,2015-12-12
Adele,79,Send My Love (To Your New Lover),2015-12-12
Chris Stapleton,80,Tennessee Whiskey,2015-12-12
Jana Kramer,81,I Got The Boy,2015-12-12
Tim McGraw,82,Top Of The World,2015-12-12
Flo Rida,83,My House,2015-12-12
Chris Brown,84,Liquor,2015-12-12
G-Eazy x Bebe Rexha,85,"Me, Myself & I",2015-12-12
DNCE,86,Cake By The Ocean,2015-12-12
Adele,87,Remedy,2015-12-12
LOCASH,88,I Love This Life,2015-12-12
Justin Bieber,89,Life Is Worth Living,2015-12-12
Cole Swindell,90,Let Me See Ya Girl,2015-12-12
Rachel Platten,91,Stand By You,2015-12-12
Drake,92,Right Hand,2015-12-12
Hailee Steinfeld,93,Love Myself,2015-12-12
Kelsea Ballerini,94,Dibs,2015-12-12
J Balvin,95,Ginza,2015-12-12
Fetty Wap,96,RGF Island,2015-12-12
Luke Bryan Featuring Karen Fairchild,97,Home Alone Tonight,2015-12-12
Young Thug,98,Best Friend,2015-12-12
Big Sean Featuring Chris Brown & Ty Dolla $ign,99,Play No Games,2015-12-12
Future,100,Rich $ex,2015-12-12
Adele,1,Hello,2015-12-19
Justin Bieber,2,Sorry,2015-12-19
Drake,3,Hotline Bling,2015-12-19
Justin Bieber,4,What Do You Mean?,2015-12-19
The Weeknd,5,The Hills,2015-12-19
Shawn Mendes,6,Stitches,2015-12-19
Justin Bieber,7,Love Yourself,2015-12-19
Alessia Cara,8,Here,2015-12-19
Meghan Trainor Featuring John Legend,9,Like I'm Gonna Lose You,2015-12-19
Selena Gomez,10,Same Old Love,2015-12-19
Fetty Wap Featuring Remy Boyz,11,679,2015-12-19
Elle King,12,Ex's & Oh's,2015-12-19
Ellie Goulding,13,On My Mind,2015-12-19
Taylor Swift,14,Wildest Dreams,2015-12-19
Drake & Future,15,Jumpman,2015-12-19
The Weeknd,16,Can't Feel My Face,2015-12-19
Ariana Grande,17,Focus,2015-12-19
Silento,18,Watch Me,2015-12-19
Travis Scott,19,Antidote,2015-12-19
Major Lazer & DJ Snake Featuring MO,20,Lean On,2015-12-19
Demi Lovato,21,Confident,2015-12-19
Post Malone,22,White Iverson,2015-12-19
Thomas Rhett,23,Die A Happy Man,2015-12-19
Bryson Tiller,24,Don't,2015-12-19
R. City Featuring Adam Levine,25,Locked Away,2015-12-19
Mariah Carey,26,All I Want For Christmas Is You,2015-12-19
One Direction,27,Perfect,2015-12-19
Fetty Wap,28,Trap Queen,2015-12-19
Future Featuring Drake,29,Where Ya At,2015-12-19
Tory Lanez,30,Say It,2015-12-19
Skrillex & Diplo With Justin Bieber,31,Where Are U Now,2015-12-19
Sam Hunt,32,Break Up In A Small Town,2015-12-19
One Direction,33,Drag Me Down,2015-12-19
Justin Bieber,34,I'll Show You,2015-12-19
iLoveMemphis,35,Hit The Quan,2015-12-19
The Chainsmokers Featuring Rozes,36,Roses,2015-12-19
The Weeknd,37,In The Night,2015-12-19
Selena Gomez Featuring A$AP Rocky,38,Good For You,2015-12-19
Wiz Khalifa Featuring Charlie Puth,39,See You Again,2015-12-19
X Ambassadors,40,Renegades,2015-12-19
J. Cole,41,No Role Modelz,2015-12-19
Fetty Wap,42,Again,2015-12-19
Fetty Wap Featuring Monty,43,My Way,2015-12-19
Chris Young,44,I'm Comin' Over,2015-12-19
twenty one pilots,45,Stressed Out,2015-12-19
OMI,46,Cheerleader,2015-12-19
DeJ Loaf Featuring Big Sean,47,Back Up,2015-12-19
Cam,48,Burning House,2015-12-19
Rudimental Featuring Ed Sheeran,49,Lay It All On Me,2015-12-19
Ed Sheeran,50,Photograph,2015-12-19
Dan + Shay,51,Nothin' Like You,2015-12-19
Gwen Stefani,52,Used To Love You,2015-12-19
Daya,53,Hide Away,2015-12-19
Coldplay,54,Adventure Of A Lifetime,2015-12-19
Calvin Harris & Disciples,55,How Deep Is Your Love,2015-12-19
Blake Shelton,56,Gonna,2015-12-19
Justin Bieber Featuring Halsey,57,The Feeling,2015-12-19
DLOW,58,Do It Like Me,2015-12-19
Missy Elliott Featuring Pharrell Williams,59,WTF (Where They From),2015-12-19
Bryson Tiller,60,Exchange,2015-12-19
Jordan Smith,61,Hallelujah,2015-12-19
Jason Aldean,62,Gonna Know We Were Here,2015-12-19
Nelly Featuring Jeremih,63,The Fix,2015-12-19
Shawn Mendes & Camila Cabello,64,I Know What You Did Last Summer,2015-12-19
Brothers Osborne,65,Stay A Little Longer,2015-12-19
G-Eazy x Bebe Rexha,66,"Me, Myself & I",2015-12-19
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",67,Downtown,2015-12-19
Drake & Future,68,Big Rings,2015-12-19
Adele,69,When We Were Young,2015-12-19
Flo Rida,70,My House,2015-12-19
Carrie Underwood,71,Smoke Break,2015-12-19
DNCE,72,Cake By The Ocean,2015-12-19
Drake,73,Back To Back,2015-12-19
Justin Bieber,74,Purpose,2015-12-19
Luke Bryan,75,Strip It Down,2015-12-19
Rae Sremmurd,76,Come Get Her,2015-12-19
Jana Kramer,77,I Got The Boy,2015-12-19
Tim McGraw,78,Top Of The World,2015-12-19
LOCASH,79,I Love This Life,2015-12-19
Justin Bieber,80,Mark My Words,2015-12-19
Ty Dolla $ign Featuring Future & Rae Sremmurd,81,Blase,2015-12-19
Chris Brown,82,Liquor,2015-12-19
Justin Bieber,83,Company,2015-12-19
Luke Bryan Featuring Karen Fairchild,84,Home Alone Tonight,2015-12-19
Rachel Platten,85,Stand By You,2015-12-19
Young Thug,86,Best Friend,2015-12-19
Yo Gotti Featuring Nicki Minaj,87,Down In The DM,2015-12-19
Justin Bieber Featuring Big Sean,88,No Pressure,2015-12-19
Charlie Puth,89,One Call Away,2015-12-19
Justin Bieber Featuring Travi$ Scott,90,No Sense,2015-12-19
Kelsea Ballerini,91,Dibs,2015-12-19
Barrett Baber,92,I'd Just Love To Lay You Down,2015-12-19
Drake,93,Right Hand,2015-12-19
Big Sean Featuring Chris Brown & Ty Dolla $ign,94,Play No Games,2015-12-19
Fall Out Boy,95,Irresistible,2015-12-19
Halsey,96,New Americana,2015-12-19
PSY Featuring CL,97,Daddy,2015-12-19
Madi Davis,98,Girls Just Want To Have Fun,2015-12-19
Cole Swindell,99,Let Me See Ya Girl,2015-12-19
Parmalee,100,Already Callin' You Mine,2015-12-19
Adele,1,Hello,2015-12-26
Justin Bieber,2,Sorry,2015-12-26
Drake,3,Hotline Bling,2015-12-26
Justin Bieber,4,What Do You Mean?,2015-12-26
Justin Bieber,5,Love Yourself,2015-12-26
The Weeknd,6,The Hills,2015-12-26
Shawn Mendes,7,Stitches,2015-12-26
Alessia Cara,8,Here,2015-12-26
Selena Gomez,9,Same Old Love,2015-12-26
Meghan Trainor Featuring John Legend,10,Like I'm Gonna Lose You,2015-12-26
Fetty Wap Featuring Remy Boyz,11,679,2015-12-26
Elle King,12,Ex's & Oh's,2015-12-26
Ellie Goulding,13,On My Mind,2015-12-26
Drake & Future,14,Jumpman,2015-12-26
The Weeknd,15,Can't Feel My Face,2015-12-26
Travis Scott,16,Antidote,2015-12-26
Major Lazer & DJ Snake Featuring MO,17,Lean On,2015-12-26
Taylor Swift,18,Wildest Dreams,2015-12-26
The Weeknd,19,In The Night,2015-12-26
Bryson Tiller,20,Don't,2015-12-26
Jordan Smith,21,Somebody To Love,2015-12-26
Mariah Carey,22,All I Want For Christmas Is You,2015-12-26
Post Malone,23,White Iverson,2015-12-26
Ariana Grande,24,Focus,2015-12-26
Thomas Rhett,25,Die A Happy Man,2015-12-26
Silento,26,Watch Me,2015-12-26
Fetty Wap,27,Trap Queen,2015-12-26
twenty one pilots,28,Stressed Out,2015-12-26
The Chainsmokers Featuring Rozes,29,Roses,2015-12-26
Tory Lanez,30,Say It,2015-12-26
Demi Lovato,31,Confident,2015-12-26
One Direction,32,Perfect,2015-12-26
R. City Featuring Adam Levine,33,Locked Away,2015-12-26
Sam Hunt,34,Break Up In A Small Town,2015-12-26
Future Featuring Drake,35,Where Ya At,2015-12-26
G-Eazy x Bebe Rexha,36,"Me, Myself & I",2015-12-26
J. Cole,37,No Role Modelz,2015-12-26
Skrillex & Diplo With Justin Bieber,38,Where Are U Now,2015-12-26
Coldplay,39,Adventure Of A Lifetime,2015-12-26
Selena Gomez Featuring A$AP Rocky,40,Good For You,2015-12-26
Wiz Khalifa Featuring Charlie Puth,41,See You Again,2015-12-26
Fetty Wap,42,Again,2015-12-26
OMI,43,Cheerleader,2015-12-26
Brenda Lee,44,Rockin' Around The Christmas Tree,2015-12-26
iLoveMemphis,45,Hit The Quan,2015-12-26
One Direction,46,Drag Me Down,2015-12-26
Cam,47,Burning House,2015-12-26
Daya,48,Hide Away,2015-12-26
DeJ Loaf Featuring Big Sean,49,Back Up,2015-12-26
X Ambassadors,50,Renegades,2015-12-26
Justin Bieber,51,I'll Show You,2015-12-26
Shawn Mendes & Camila Cabello,52,I Know What You Did Last Summer,2015-12-26
Bryson Tiller,53,Exchange,2015-12-26
Blake Shelton,54,Gonna,2015-12-26
Flo Rida,55,My House,2015-12-26
Gwen Stefani,56,Used To Love You,2015-12-26
Missy Elliott Featuring Pharrell Williams,57,WTF (Where They From),2015-12-26
Rudimental Featuring Ed Sheeran,58,Lay It All On Me,2015-12-26
Brothers Osborne,59,Stay A Little Longer,2015-12-26
DLOW,60,Do It Like Me,2015-12-26
Rachel Platten,61,Stand By You,2015-12-26
Nelly Featuring Jeremih,62,The Fix,2015-12-26
DNCE,63,Cake By The Ocean,2015-12-26
Drake & Future,64,Big Rings,2015-12-26
Jason Aldean,65,Gonna Know We Were Here,2015-12-26
Drake,66,Back To Back,2015-12-26
Luke Bryan Featuring Karen Fairchild,67,Home Alone Tonight,2015-12-26
Yo Gotti Featuring Nicki Minaj,68,Down In The DM,2015-12-26
Dan + Shay,69,Nothin' Like You,2015-12-26
Justin Bieber Featuring Halsey,70,The Feeling,2015-12-26
Jana Kramer,71,I Got The Boy,2015-12-26
Young Thug,72,Best Friend,2015-12-26
Tim McGraw,73,Top Of The World,2015-12-26
LOCASH,74,I Love This Life,2015-12-26
Charlie Puth,75,One Call Away,2015-12-26
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",76,Downtown,2015-12-26
Selena Gomez,77,Hands To Myself,2015-12-26
Adele,78,When We Were Young,2015-12-26
Rae Sremmurd,79,Come Get Her,2015-12-26
Luke Bryan,80,Strip It Down,2015-12-26
Ty Dolla $ign Featuring Future & Rae Sremmurd,81,Blase,2015-12-26
Halsey,82,New Americana,2015-12-26
Carrie Underwood,83,Smoke Break,2015-12-26
Fall Out Boy,84,Irresistible,2015-12-26
Justin Bieber,85,Purpose,2015-12-26
Kelsea Ballerini,86,Dibs,2015-12-26
Lil Dicky Featuring Fetty Wap & Rich Homie Quan,87,$ave Dat Money,2015-12-26
Drake,88,Right Hand,2015-12-26
Dawin,89,Dessert,2015-12-26
Justin Bieber,90,Mark My Words,2015-12-26
Parmalee,91,Already Callin' You Mine,2015-12-26
Big Sean Featuring Chris Brown & Ty Dolla $ign,92,Play No Games,2015-12-26
Granger Smith,93,Backroad Song,2015-12-26
G-Eazy,94,Random,2015-12-26
Justin Bieber,95,Company,2015-12-26
Justin Bieber Featuring Big Sean,96,No Pressure,2015-12-26
Rick Ross Featuring Chris Brown,97,Sorry,2015-12-26
G-Eazy Featuring Chris Brown & Tory Lanez,98,Drifting,2015-12-26
Chris Brown,99,Liquor,2015-12-26
Zac Brown Band,100,Beautiful Drug,2015-12-26
Adele,1,Hello,2016-01-02
Justin Bieber,2,Sorry,2016-01-02
Drake,3,Hotline Bling,2016-01-02
Justin Bieber,4,Love Yourself,2016-01-02
Justin Bieber,5,What Do You Mean?,2016-01-02
Selena Gomez,6,Same Old Love,2016-01-02
The Weeknd,7,The Hills,2016-01-02
Alessia Cara,8,Here,2016-01-02
Shawn Mendes,9,Stitches,2016-01-02
Meghan Trainor Featuring John Legend,10,Like I'm Gonna Lose You,2016-01-02
Fetty Wap Featuring Remy Boyz,11,679,2016-01-02
The Weeknd,12,In The Night,2016-01-02
Drake & Future,13,Jumpman,2016-01-02
Ellie Goulding,14,On My Mind,2016-01-02
The Weeknd,15,Can't Feel My Face,2016-01-02
Travis Scott,16,Antidote,2016-01-02
Elle King,17,Ex's & Oh's,2016-01-02
Mariah Carey,18,All I Want For Christmas Is You,2016-01-02
twenty one pilots,19,Stressed Out,2016-01-02
Bryson Tiller,20,Don't,2016-01-02
Thomas Rhett,21,Die A Happy Man,2016-01-02
Post Malone,22,White Iverson,2016-01-02
Taylor Swift,23,Wildest Dreams,2016-01-02
Jordan Smith,24,Mary Did You Know,2016-01-02
Major Lazer & DJ Snake Featuring MO,25,Lean On,2016-01-02
The Chainsmokers Featuring Rozes,26,Roses,2016-01-02
Silento,27,Watch Me,2016-01-02
Tory Lanez,28,Say It,2016-01-02
Cam,29,Burning House,2016-01-02
Demi Lovato,30,Confident,2016-01-02
Fetty Wap,31,Trap Queen,2016-01-02
One Direction,32,Perfect,2016-01-02
Ariana Grande,33,Focus,2016-01-02
Sam Hunt,34,Break Up In A Small Town,2016-01-02
Future Featuring Drake,35,Where Ya At,2016-01-02
J. Cole,36,No Role Modelz,2016-01-02
R. City Featuring Adam Levine,37,Locked Away,2016-01-02
Brenda Lee,38,Rockin' Around The Christmas Tree,2016-01-02
Skrillex & Diplo With Justin Bieber,39,Where Are U Now,2016-01-02
G-Eazy x Bebe Rexha,40,"Me, Myself & I",2016-01-02
Daya,41,Hide Away,2016-01-02
Wiz Khalifa Featuring Charlie Puth,42,See You Again,2016-01-02
Selena Gomez Featuring A$AP Rocky,43,Good For You,2016-01-02
Coldplay,44,Adventure Of A Lifetime,2016-01-02
Fetty Wap,45,Again,2016-01-02
Shawn Mendes & Camila Cabello,46,I Know What You Did Last Summer,2016-01-02
DNCE,47,Cake By The Ocean,2016-01-02
Bryson Tiller,48,Exchange,2016-01-02
OMI,49,Cheerleader,2016-01-02
One Direction,50,Drag Me Down,2016-01-02
Flo Rida,51,My House,2016-01-02
iLoveMemphis,52,Hit The Quan,2016-01-02
DeJ Loaf Featuring Big Sean,53,Back Up,2016-01-02
Missy Elliott Featuring Pharrell Williams,54,WTF (Where They From),2016-01-02
Adele,55,When We Were Young,2016-01-02
Emily Ann Roberts,56,Burning House,2016-01-02
Yo Gotti Featuring Nicki Minaj,57,Down In The DM,2016-01-02
Brothers Osborne,58,Stay A Little Longer,2016-01-02
Justin Bieber,59,I'll Show You,2016-01-02
Charlie Puth,60,One Call Away,2016-01-02
Luke Bryan Featuring Karen Fairchild,61,Home Alone Tonight,2016-01-02
Selena Gomez,62,Hands To Myself,2016-01-02
Blake Shelton,63,Gonna,2016-01-02
Chris Brown,64,Back To Sleep,2016-01-02
Nelly Featuring Jeremih,65,The Fix,2016-01-02
Jason Aldean,66,Gonna Know We Were Here,2016-01-02
Gwen Stefani,67,Used To Love You,2016-01-02
DLOW,68,Do It Like Me,2016-01-02
