main_artist_id,main_artist_name,popularity,song_id,song_length,song_name
2wX6xSig4Rig5kZU6ePlWe,kshmr,64,3Ixkbs1bKdr7LrvHffvoHg,178710,back to me
1VbWUxZTRNY2gw3qZ1tg9W,the corrs,64,5OQGeJ1ceykovrykZsGhqL,206133,breathless
74ASZWbe4lXaubB36ztrGX,bob dylan,63,6Vcwr9tb3ZLO63F8DL8cqu,341626,tangled up in blue
0kbYTNQb4Pb1rPbbaF0pT4,miles davis,63,6dRx7OUXfvosnXG3g9lWGi,566133,flamenco sketches
1I7oHjCjMrMUz66v67yJJu,joshua hyslop,63,1luU6gAdusIVwg5p1owzin,201933,the spark - bonus track
50co4Is1HCEo8bhOyUWKpn,young thug,63,07YlTLGFG2LsTkqGFwY5jC,239800,on fire
2yEkZBBjhzKzt6LF5XMaFi,blue,63,0t78xGJe3jXsih4qRMId7I,192679,best in me
0yNLKJebCb8Aueb54LYya3,new order,63,5rvY5aFTSvQAo2VNUR1Fxy,449906,blue monday - 2011 total version
5XenQ7XfcvQdfIbpLEFaKQ,goldlink,63,1fpfYMT2RTc5W3Zluq5xVA,213333,palm trees
33kge1mmCkHoYWJ4kJe6BC,the black atlantic,63,5nbq3jYzsuv3JhlPxBNVHp,208982,i shall cross this river
3DiDSECUqqY1AuBP8qtaIa,alicia keys,63,3XyMPyuWwHcGMvXeJY6Qt0,270720,girl on fire - inferno version
4gzpq5DPGxSnKTe4SA8HAU,coldplay,63,1uKzAldJYlwje9HstlwTie,171373,see you soon
5N5RfI8FFXk4WQ8kkjE407,deep blue something,63,1uzWOoJdADfstQuFtQFTUn,257373,breakfast at tiffany's
0B3N0ZINFWvizfa8bKiz4v,james tw,63,05TtxghZSGczxqdRQrAf0C,174986,black & blue
5hW4L92KnC6dX9t7tYM4Ve,joni mitchell,63,7shVwhUdVbHpykOfbzvDc1,263480,a case of you
02uPe16VFxPaiueQsPEDkE,the album leaf,63,3YlJKAnvDjHNFjFVy2MXMG,269066,the light
7BMccF0hQFBpP6417k1OtQ,action bronson,63,1heFl7oWexOz1jGrUJS92K,163875,the chairman's intent
6urkHDoIVO1WO8vNIwcJmM,die antwoord,63,7rmUSOrOLRBzI8Uq63qYcR,236840,baby's on fire
16oZKvXb6WkQlVAjwo2Wbg,the lumineers,63,3CuscN8itbT86pQFKQMIk7,140120,where the skies are blue
3WGpXCj9YhhfX11TToZcXP,troye sivan,62,5gBEdUKVZJgvQwNu8pIQqy,209058,for him.
1IELhvOMg5VQlU7syRm6CS,cazzette,62,4xMzLaFckIY48x9Q7wZgED,201290,blue sky
1o2NpYGqHiCq7FoiYdyd1x,bea miller,62,5cz67Ot4ylOCmF8pRFHOr4,217846,burning bridges
5gRGeLfkGBsUOv9aJieEey,mosss,62,7a0mPDySTtLmgE3NoIBNJp,199035,here if you want (pale blue)
5hW4L92KnC6dX9t7tYM4Ve,joni mitchell,62,5eM6Rrk8rwLpUhrh7Kk5R1,230226,california
3Sz7ZnJQBIHsXLUSo0OQtM,mac demarco,62,1CKm95B5JmaSCnZLquInM4,126223,blue boy
68kEuyFKyqrdQQLLsmiatm,vince staples,62,6w6SW8zyEcyxwSR7Wya45a,218040,blue suede
165ZgPlLkK7bf5bDoFc6Sb,limp bizkit,62,2DQ11fiHhS2436z7Odek4o,269973,behind blue eyes
6NFyaN9PMCDZ3LKxGwHAXt,illy,62,1I95liM3akfvKNP8TWnzP2,255889,papercuts (feat. vera blue)
3WGpXCj9YhhfX11TToZcXP,troye sivan,62,2pmO8V5TEDZqsrcaxSucpj,211816,blue
7BMccF0hQFBpP6417k1OtQ,action bronson,62,1gPDkT8miqudaqE2Pmg6H9,172638,let me breathe
7BMccF0hQFBpP6417k1OtQ,action bronson,62,0wASQ9xMN5CR5K7TdYCDbd,209627,9-24-7000 (feat. rick ross)
3WGpXCj9YhhfX11TToZcXP,troye sivan,62,72mvdKU4Lw2737idPLKTjh,186052,bite
