rank,song_name,week,main_artist_name
30,Let It Go,2016-04-16,james bay
31,You Should Be Here,2016-04-16,cole swindell
32,Jumpman,2016-04-16,drake
33,The Hills,2016-04-16,the weeknd
34,Youth,2016-04-16,troye sivan
35,Drunk On Your Love,2016-04-16,brett eldredge
36,Summer Sixteen,2016-04-16,drake
37,Back To Sleep,2016-04-16,chris brown
38,Hotline Bling,2016-04-16,drake
39,Cheap Thrills,2016-04-16,sia
40,679,2016-04-16,fetty wap
41,What Do You Mean?,2016-04-16,justin bieber
42,Say It,2016-04-16,tory lanez
43,Somewhere On A Beach,2016-04-16,dierks bentley
44,Humble And Kind,2016-04-16,tim mcgraw
45,Die A Happy Man,2016-04-16,thomas rhett
46,Like I'm Gonna Lose You,2016-04-16,meghan trainor
47,Lost Boy,2016-04-16,ruth b
48,Came Here To Forget,2016-04-16,blake shelton
49,White Iverson,2016-04-16,post malone
50,My Church,2016-04-16,maren morris
51,The Sound Of Silence,2016-04-16,disturbed
52,I Like The Sound Of That,2016-04-16,rascal flatts
53,Think Of You,2016-04-16,chris young duet with cassadee pope
54,Really Really,2016-04-16,kevin gates
55,Snapback,2016-04-16,old dominion
56,Confession,2016-04-16,florida georgia line
57,Company,2016-04-16,justin bieber
58,When We Were Young,2016-04-16,adele
59,Needed Me,2016-04-16,rihanna
60,Wild Things,2016-04-16,alessia cara
61,New Romantics,2016-04-16,taylor swift
62,Cut It,2016-04-16,o.t. genasis
63,T-Shirt,2016-04-16,thomas rhett
64,That Don't Sound Like You,2016-04-16,lee brice
65,Try Everything,2016-04-16,shakira
66,Best Friend,2016-04-16,young thug
67,Promise,2016-04-16,kid ink
68,Sugar,2016-04-16,robin schulz
69,Jimmy Choo,2016-04-16,fetty wap
70,Acquainted,2016-04-16,the weeknd
71,Team,2016-04-16,iggy azalea
72,Noise,2016-04-16,kenny chesney
73,Like I Would,2016-04-16,zayn
74,Mind Reader,2016-04-16,dustin lynch
75,Stand By You,2016-04-16,rachel platten
76,Beautiful Drug,2016-04-16,zac brown band
77,Might Not,2016-04-16,belly
78,Might Be,2016-04-16,dj luke nasty
79,Little Bit Of You,2016-04-16,chase bryant
80,Heartbeat,2016-04-16,carrie underwood
81,Nobody To Blame,2016-04-16,chris stapleton
82,Piece By Piece,2016-04-16,kelly clarkson
83,Saved,2016-04-16,ty dolla $ign
84,Light It Up,2016-04-16,major lazer
85,Head Over Boots,2016-04-16,jon pardi
86,I Know What You Did Last Summer,2016-04-16,shawn mendes
87,With Them,2016-04-16,young thug
88,Ride,2016-04-16,twenty one pilots
89,Body,2016-04-16,dreezy
90,Home Alone Tonight,2016-04-16,luke bryan
91,All The Way Up,2016-04-16,fat joe
92,"Huntin', Fishin' & Lovin' Every Day",2016-04-16,luke bryan
93,Digits,2016-04-16,young thug
94,Victorious,2016-04-16,panic! at the disco
95,Moolah,2016-04-16,young greatness
96,Something In The Way You Move,2016-04-16,ellie goulding
97,New Level,2016-04-16,a$ap ferg
98,Fast Car,2016-04-16,jonas blue
99,Uber Everywhere,2016-04-16,madeintyo
100,Make Me Like You,2016-04-16,gwen stefani
1,Work,2016-04-23,rihanna
2,7 Years,2016-04-23,lukas graham
3,No,2016-04-23,meghan trainor
4,Pillowtalk,2016-04-23,zayn
5,Panda,2016-04-23,desiigner
6,Love Yourself,2016-04-23,justin bieber
7,My House,2016-04-23,flo rida
8,I Took A Pill In Ibiza,2016-04-23,mike posner
9,Work From Home,2016-04-23,fifth harmony
10,"Me, Myself & I",2016-04-23,g-eazy
11,Stressed Out,2016-04-23,twenty one pilots
12,Cake By The Ocean,2016-04-23,dnce
13,Dangerous Woman,2016-04-23,ariana grande
14,Sorry,2016-04-23,justin bieber
15,Never Forget You,2016-04-23,zara larsson
16,Pop Style,2016-04-23,drake
17,2 Phones,2016-04-23,kevin gates
18,Hands To Myself,2016-04-23,selena gomez
19,Oui,2016-04-23,jeremih
20,One Call Away,2016-04-23,charlie puth
21,One Dance,2016-04-23,drake
22,Don't Let Me Down,2016-04-23,the chainsmokers
23,Jumpman,2016-04-23,drake
24,Middle,2016-04-23,dj snake
25,Hello,2016-04-23,adele
26,Roses,2016-04-23,the chainsmokers
27,Stitches,2016-04-23,shawn mendes
28,Don't,2016-04-23,bryson tiller
29,Low Life,2016-04-23,future
30,Humble And Kind,2016-04-23,tim mcgraw
31,Exchange,2016-04-23,bryson tiller
32,Down In The DM,2016-04-23,yo gotti
33,Close,2016-04-23,nick jonas
34,Famous,2016-04-23,kanye west
35,You Should Be Here,2016-04-23,cole swindell
36,Die A Happy Man,2016-04-23,thomas rhett
37,Father Stretch My Hands Pt. 1,2016-04-23,kanye west
38,Let It Go,2016-04-23,james bay
39,Somewhere On A Beach,2016-04-23,dierks bentley
40,Came Here To Forget,2016-04-23,blake shelton
41,Think Of You,2016-04-23,chris young duet with cassadee pope
42,The Hills,2016-04-23,the weeknd
43,Lights Come On,2016-04-23,jason aldean
44,Back To Sleep,2016-04-23,chris brown
45,Summer Sixteen,2016-04-23,drake
46,Youth,2016-04-23,troye sivan
47,Needed Me,2016-04-23,rihanna
48,Drunk On Your Love,2016-04-23,brett eldredge
49,The Sound Of Silence,2016-04-23,disturbed
50,Hotline Bling,2016-04-23,drake
51,Lost Boy,2016-04-23,ruth b
52,Snapback,2016-04-23,old dominion
53,Confession,2016-04-23,florida georgia line
54,Pt. 2,2016-04-23,kanye west
55,Cheap Thrills,2016-04-23,sia
56,Cut It,2016-04-23,o.t. genasis
57,Company,2016-04-23,justin bieber
58,My Church,2016-04-23,maren morris
59,I Like The Sound Of That,2016-04-23,rascal flatts
60,Wild Things,2016-04-23,alessia cara
61,Really Really,2016-04-23,kevin gates
62,New Romantics,2016-04-23,taylor swift
63,T-Shirt,2016-04-23,thomas rhett
64,Promise,2016-04-23,kid ink
65,Team,2016-04-23,iggy azalea
66,"Huntin', Fishin' & Lovin' Every Day",2016-04-23,luke bryan
67,Ultralight Beam,2016-04-23,kanye west
68,Nobody To Blame,2016-04-23,chris stapleton
69,That Don't Sound Like You,2016-04-23,lee brice
70,When We Were Young,2016-04-23,adele
71,Waves,2016-04-23,kanye west
72,Piece By Piece,2016-04-23,kelly clarkson
73,Might Not,2016-04-23,belly
74,Wasted Time,2016-04-23,keith urban
75,Try Everything,2016-04-23,shakira
76,Best Friend,2016-04-23,young thug
77,Acquainted,2016-04-23,the weeknd
78,Little Bit Of You,2016-04-23,chase bryant
79,Mind Reader,2016-04-23,dustin lynch
80,Kiss It Better,2016-04-23,rihanna
81,All The Way Up,2016-04-23,fat joe
82,Sugar,2016-04-23,robin schulz
83,Might Be,2016-04-23,dj luke nasty
84,FML,2016-04-23,kanye west
85,Jimmy Choo,2016-04-23,fetty wap
86,Light It Up,2016-04-23,major lazer
87,Ride,2016-04-23,twenty one pilots
88,Body,2016-04-23,dreezy
89,Head Over Boots,2016-04-23,jon pardi
90,Tennessee Whiskey,2016-04-23,chris stapleton
91,Saved,2016-04-23,ty dolla $ign
92,Real Friends,2016-04-23,kanye west
93,Noise,2016-04-23,kenny chesney
94,Beautiful Drug,2016-04-23,zac brown band
95,Heartbeat,2016-04-23,carrie underwood
96,Victorious,2016-04-23,panic! at the disco
97,Come And See Me,2016-04-23,partynextdoor
98,Never Be Like You,2016-04-23,flume
99,Feedback,2016-04-23,kanye west
100,Record Year,2016-04-23,eric church
1,Work,2016-04-30,rihanna
2,Panda,2016-04-30,desiigner
3,7 Years,2016-04-30,lukas graham
4,No,2016-04-30,meghan trainor
5,Pillowtalk,2016-04-30,zayn
6,I Took A Pill In Ibiza,2016-04-30,mike posner
7,Work From Home,2016-04-30,fifth harmony
8,Love Yourself,2016-04-30,justin bieber
9,Cake By The Ocean,2016-04-30,dnce
10,"Me, Myself & I",2016-04-30,g-eazy
11,Stressed Out,2016-04-30,twenty one pilots
12,My House,2016-04-30,flo rida
13,One Dance,2016-04-30,drake
14,Dangerous Woman,2016-04-30,ariana grande
15,Never Forget You,2016-04-30,zara larsson
16,Sorry,2016-04-30,justin bieber
17,Don't Let Me Down,2016-04-30,the chainsmokers
18,2 Phones,2016-04-30,kevin gates
19,Pop Style,2016-04-30,drake
20,Oui,2016-04-30,jeremih
21,Low Life,2016-04-30,future
22,Middle,2016-04-30,dj snake
23,One Call Away,2016-04-30,charlie puth
24,Hands To Myself,2016-04-30,selena gomez
25,Jumpman,2016-04-30,drake
26,Stitches,2016-04-30,shawn mendes
27,Hello,2016-04-30,adele
28,Roses,2016-04-30,the chainsmokers
29,Close,2016-04-30,nick jonas
30,Don't,2016-04-30,bryson tiller
31,Exchange,2016-04-30,bryson tiller
32,Down In The DM,2016-04-30,yo gotti
33,Needed Me,2016-04-30,rihanna
34,Let It Go,2016-04-30,james bay
35,Somewhere On A Beach,2016-04-30,dierks bentley
36,Humble And Kind,2016-04-30,tim mcgraw
37,Back To Sleep,2016-04-30,chris brown
38,You Should Be Here,2016-04-30,cole swindell
39,The Hills,2016-04-30,the weeknd
40,Think Of You,2016-04-30,chris young duet with cassadee pope
41,Lost Boy,2016-04-30,ruth b
42,The Sound Of Silence,2016-04-30,disturbed
43,Youth,2016-04-30,troye sivan
44,Cut It,2016-04-30,o.t. genasis
45,Die A Happy Man,2016-04-30,thomas rhett
46,New Romantics,2016-04-30,taylor swift
47,Cheap Thrills,2016-04-30,sia
48,Came Here To Forget,2016-04-30,blake shelton
49,Famous,2016-04-30,kanye west
50,Snapback,2016-04-30,old dominion
51,Summer Sixteen,2016-04-30,drake
52,I Like The Sound Of That,2016-04-30,rascal flatts
53,Company,2016-04-30,justin bieber
54,Father Stretch My Hands Pt. 1,2016-04-30,kanye west
55,Confession,2016-04-30,florida georgia line
56,Wild Things,2016-04-30,alessia cara
57,Promise,2016-04-30,kid ink
58,My Church,2016-04-30,maren morris
59,Team,2016-04-30,iggy azalea
60,"Huntin', Fishin' & Lovin' Every Day",2016-04-30,luke bryan
61,T-Shirt,2016-04-30,thomas rhett
62,Really Really,2016-04-30,kevin gates
63,Piece By Piece,2016-04-30,kelly clarkson
64,That Don't Sound Like You,2016-04-30,lee brice
65,Drunk On Your Love,2016-04-30,brett eldredge
66,Ophelia,2016-04-30,the lumineers
67,Mind Reader,2016-04-30,dustin lynch
68,Might Not,2016-04-30,belly
69,All The Way Up,2016-04-30,fat joe
70,Messin' Around,2016-04-30,pitbull
71,Little Bit Of You,2016-04-30,chase bryant
72,Acquainted,2016-04-30,the weeknd
73,Pt. 2,2016-04-30,kanye west
74,Try Everything,2016-04-30,shakira
75,Light It Up,2016-04-30,major lazer
76,Never Be Like You,2016-04-30,flume
77,Body,2016-04-30,dreezy
78,Ride,2016-04-30,twenty one pilots
79,Might Be,2016-04-30,dj luke nasty
80,Nobody To Blame,2016-04-30,chris stapleton
81,Saved,2016-04-30,ty dolla $ign
82,Uber Everywhere,2016-04-30,madeintyo
83,Kiss It Better,2016-04-30,rihanna
84,Head Over Boots,2016-04-30,jon pardi
85,Law,2016-04-30,yo gotti
86,Waves,2016-04-30,kanye west
87,Moolah,2016-04-30,young greatness
88,Sugar,2016-04-30,robin schulz
89,Jimmy Choo,2016-04-30,fetty wap
90,Ultralight Beam,2016-04-30,kanye west
91,Faded,2016-04-30,alan walker
92,Ain't Your Mama,2016-04-30,jennifer lopez
93,Lights Come On,2016-04-30,jason aldean
94,If It Ain't Love,2016-04-30,jason derulo
95,Noise,2016-04-30,kenny chesney
96,Victorious,2016-04-30,panic! at the disco
97,Record Year,2016-04-30,eric church
98,Come And See Me,2016-04-30,partynextdoor
99,Fast Car,2016-04-30,jonas blue
100,New Level,2016-04-30,a$ap ferg
1,Panda,2016-05-07,desiigner
2,7 Years,2016-05-07,lukas graham
3,One Dance,2016-05-07,drake
4,Work,2016-05-07,rihanna
5,I Took A Pill In Ibiza,2016-05-07,mike posner
6,Work From Home,2016-05-07,fifth harmony
7,No,2016-05-07,meghan trainor
8,Pillowtalk,2016-05-07,zayn
9,Love Yourself,2016-05-07,justin bieber
10,"Me, Myself & I",2016-05-07,g-eazy
11,Cake By The Ocean,2016-05-07,dnce
12,My House,2016-05-07,flo rida
13,Stressed Out,2016-05-07,twenty one pilots
14,Don't Let Me Down,2016-05-07,the chainsmokers
15,Dangerous Woman,2016-05-07,ariana grande
16,Never Forget You,2016-05-07,zara larsson
17,Purple Rain,2016-05-07,prince
18,Low Life,2016-05-07,future
19,2 Phones,2016-05-07,kevin gates
20,When Doves Cry,2016-05-07,prince
21,Sorry,2016-05-07,justin bieber
22,Oui,2016-05-07,jeremih
23,Needed Me,2016-05-07,rihanna
24,Middle,2016-05-07,dj snake
25,Pop Style,2016-05-07,drake
26,Close,2016-05-07,nick jonas
27,One Call Away,2016-05-07,charlie puth
28,Kiss,2016-05-07,prince
29,Little Red Corvette,2016-05-07,prince
30,Stitches,2016-05-07,shawn mendes
31,Let It Go,2016-05-07,james bay
32,Exchange,2016-05-07,bryson tiller
33,Roses,2016-05-07,the chainsmokers
34,Jumpman,2016-05-07,drake
35,Hands To Myself,2016-05-07,selena gomez
36,Hello,2016-05-07,adele
37,Don't,2016-05-07,bryson tiller
38,Somewhere On A Beach,2016-05-07,dierks bentley
39,Let's Go Crazy,2016-05-07,prince
40,Down In The DM,2016-05-07,yo gotti
41,1999,2016-05-07,prince
42,Just Like Fire,2016-05-07,p!nk
43,Cut It,2016-05-07,o.t. genasis
44,Humble And Kind,2016-05-07,tim mcgraw
45,Think Of You,2016-05-07,chris young duet with cassadee pope
46,The Sound Of Silence,2016-05-07,disturbed
47,Cheap Thrills,2016-05-07,sia
48,The Hills,2016-05-07,the weeknd
49,Youth,2016-05-07,troye sivan
50,Lost Boy,2016-05-07,ruth b
51,Snapback,2016-05-07,old dominion
52,Wild Things,2016-05-07,alessia cara
53,Came Here To Forget,2016-05-07,blake shelton
54,Confession,2016-05-07,florida georgia line
55,You Should Be Here,2016-05-07,cole swindell
56,T-Shirt,2016-05-07,thomas rhett
57,Back To Sleep,2016-05-07,chris brown
58,Company,2016-05-07,justin bieber
59,I Like The Sound Of That,2016-05-07,rascal flatts
60,"Huntin', Fishin' & Lovin' Every Day",2016-05-07,luke bryan
61,My Church,2016-05-07,maren morris
62,Famous,2016-05-07,kanye west
63,Promise,2016-05-07,kid ink
64,Father Stretch My Hands Pt. 1,2016-05-07,kanye west
65,All The Way Up,2016-05-07,fat joe
66,Summer Sixteen,2016-05-07,drake
67,Team,2016-05-07,iggy azalea
68,Really Really,2016-05-07,kevin gates
69,Mind Reader,2016-05-07,dustin lynch
70,Kiss It Better,2016-05-07,rihanna
71,Might Not,2016-05-07,belly
72,Never Be Like You,2016-05-07,flume
73,Wicked,2016-05-07,future
74,Ride,2016-05-07,twenty one pilots
75,Acquainted,2016-05-07,the weeknd
76,Light It Up,2016-05-07,major lazer
77,Body,2016-05-07,dreezy
78,New Romantics,2016-05-07,taylor swift
79,Head Over Boots,2016-05-07,jon pardi
80,Uber Everywhere,2016-05-07,madeintyo
81,That Don't Sound Like You,2016-05-07,lee brice
82,Piece By Piece,2016-05-07,kelly clarkson
83,Drunk On Your Love,2016-05-07,brett eldredge
84,If It Ain't Love,2016-05-07,jason derulo
85,Moolah,2016-05-07,young greatness
86,Law,2016-05-07,yo gotti
87,Saved,2016-05-07,ty dolla $ign
88,Little Bit Of You,2016-05-07,chase bryant
89,Ophelia,2016-05-07,the lumineers
90,Lights Come On,2016-05-07,jason aldean
91,Wasted Time,2016-05-07,keith urban
92,Might Be,2016-05-07,dj luke nasty
93,I Hate U I Love U,2016-05-07,gnash
94,Faded,2016-05-07,alan walker
95,You Don't Own Me,2016-05-07,grace
96,Noise,2016-05-07,kenny chesney
97,Pt. 2,2016-05-07,kanye west
98,Jimmy Choo,2016-05-07,fetty wap
99,Let Me Love You,2016-05-07,ariana grande
100,Fast Car,2016-05-07,jonas blue
1,Panda,2016-05-14,desiigner
2,One Dance,2016-05-14,drake
3,7 Years,2016-05-14,lukas graham
4,Purple Rain,2016-05-14,prince
5,I Took A Pill In Ibiza,2016-05-14,mike posner
6,Work,2016-05-14,rihanna
7,Work From Home,2016-05-14,fifth harmony
8,When Doves Cry,2016-05-14,prince
9,Pillowtalk,2016-05-14,zayn
10,Formation,2016-05-14,beyonce
11,Sorry,2016-05-14,beyonce
12,No,2016-05-14,meghan trainor
13,Hold Up,2016-05-14,beyonce
14,Don't Let Me Down,2016-05-14,the chainsmokers
15,Love Yourself,2016-05-14,justin bieber
16,Stressed Out,2016-05-14,twenty one pilots
17,"Me, Myself & I",2016-05-14,g-eazy
18,6 Inch,2016-05-14,beyonce
19,My House,2016-05-14,flo rida
20,Little Red Corvette,2016-05-14,prince
21,Dangerous Woman,2016-05-14,ariana grande
22,Needed Me,2016-05-14,rihanna
23,Kiss,2016-05-14,prince
24,Cake By The Ocean,2016-05-14,dnce
25,Let's Go Crazy,2016-05-14,prince
26,Never Forget You,2016-05-14,zara larsson
27,1999,2016-05-14,prince
28,Don't Hurt Yourself,2016-05-14,beyonce
29,Low Life,2016-05-14,future
30,Oui,2016-05-14,jeremih
31,Sorry,2016-05-14,justin bieber
32,2 Phones,2016-05-14,kevin gates
33,Raspberry Beret,2016-05-14,prince
34,Middle,2016-05-14,dj snake
35,Freedom,2016-05-14,beyonce
36,Close,2016-05-14,nick jonas
37,Pray You Catch Me,2016-05-14,beyonce
38,All Night,2016-05-14,beyonce
39,I Would Die 4 U,2016-05-14,prince
40,Pop Style,2016-05-14,drake
41,Daddy Lessons,2016-05-14,beyonce
42,Let It Go,2016-05-14,james bay
43,Sandcastles,2016-05-14,beyonce
44,Exchange,2016-05-14,bryson tiller
45,Stitches,2016-05-14,shawn mendes
46,One Call Away,2016-05-14,charlie puth
47,Love Drought,2016-05-14,beyonce
48,Roses,2016-05-14,the chainsmokers
49,Jumpman,2016-05-14,drake
50,Don't,2016-05-14,bryson tiller
51,Somewhere On A Beach,2016-05-14,dierks bentley
52,Think Of You,2016-05-14,chris young duet with cassadee pope
53,Humble And Kind,2016-05-14,tim mcgraw
54,Cheap Thrills,2016-05-14,sia
55,Lost Boy,2016-05-14,ruth b
56,Cut It,2016-05-14,o.t. genasis
57,Wild Things,2016-05-14,alessia cara
58,Youth,2016-05-14,troye sivan
59,The Sound Of Silence,2016-05-14,disturbed
60,Snapback,2016-05-14,old dominion
61,Came Here To Forget,2016-05-14,blake shelton
62,T-Shirt,2016-05-14,thomas rhett
63,Forward,2016-05-14,beyonce
64,My Church,2016-05-14,maren morris
65,"Huntin', Fishin' & Lovin' Every Day",2016-05-14,luke bryan
66,Ride,2016-05-14,twenty one pilots
67,Kiss It Better,2016-05-14,rihanna
68,All The Way Up,2016-05-14,fat joe
69,Mind Reader,2016-05-14,dustin lynch
70,Back To Sleep,2016-05-14,chris brown
71,Never Be Like You,2016-05-14,flume
72,You Should Be Here,2016-05-14,cole swindell
73,Summer Sixteen,2016-05-14,drake
74,Team,2016-05-14,iggy azalea
75,Just Like Fire,2016-05-14,p!nk
76,Really Really,2016-05-14,kevin gates
77,Promise,2016-05-14,kid ink
78,I Like The Sound Of That,2016-05-14,rascal flatts
79,Might Not,2016-05-14,belly
80,Wicked,2016-05-14,future
81,Confession,2016-05-14,florida georgia line
82,Father Stretch My Hands Pt. 1,2016-05-14,kanye west
83,Famous,2016-05-14,kanye west
84,Wake Up,2016-05-14,fetty wap
85,Uber Everywhere,2016-05-14,madeintyo
86,Body,2016-05-14,dreezy
87,If It Ain't Love,2016-05-14,jason derulo
88,Light It Up,2016-05-14,major lazer
89,Head Over Boots,2016-05-14,jon pardi
90,New Level,2016-05-14,a$ap ferg
91,Company,2016-05-14,justin bieber
92,Acquainted,2016-05-14,the weeknd
93,Piece By Piece,2016-05-14,kelly clarkson
94,Go Flex,2016-05-14,post malone
95,Law,2016-05-14,yo gotti
96,I Hate U I Love U,2016-05-14,gnash
97,Moolah,2016-05-14,young greatness
98,Lights Come On,2016-05-14,jason aldean
99,That Don't Sound Like You,2016-05-14,lee brice
100,Record Year,2016-05-14,eric church
1,One Dance,2016-05-21,drake
2,Panda,2016-05-21,desiigner
3,7 Years,2016-05-21,lukas graham
4,I Took A Pill In Ibiza,2016-05-21,mike posner
5,Work From Home,2016-05-21,fifth harmony
6,Work,2016-05-21,rihanna
7,Don't Let Me Down,2016-05-21,the chainsmokers
8,Pillowtalk,2016-05-21,zayn
9,This Is What You Came For,2016-05-21,calvin harris
10,Love Yourself,2016-05-21,justin bieber
11,Sorry,2016-05-21,beyonce
12,No,2016-05-21,meghan trainor
13,Needed Me,2016-05-21,rihanna
14,My House,2016-05-21,flo rida
15,Stressed Out,2016-05-21,twenty one pilots
16,Hold Up,2016-05-21,beyonce
17,"Me, Myself & I",2016-05-21,g-eazy
18,Dangerous Woman,2016-05-21,ariana grande
19,Formation,2016-05-21,beyonce
20,H.O.L.Y.,2016-05-21,florida georgia line
21,Pop Style,2016-05-21,drake
22,Cake By The Ocean,2016-05-21,dnce
23,Never Forget You,2016-05-21,zara larsson
24,Low Life,2016-05-21,future
25,Oui,2016-05-21,jeremih
26,2 Phones,2016-05-21,kevin gates
27,Sorry,2016-05-21,justin bieber
28,6 Inch,2016-05-21,beyonce
29,My Boo,2016-05-21,ghost town dj's
30,Middle,2016-05-21,dj snake
31,Close,2016-05-21,nick jonas
32,Let It Go,2016-05-21,james bay
33,Hype,2016-05-21,drake
34,Controlla,2016-05-21,drake
35,Exchange,2016-05-21,bryson tiller
36,Stitches,2016-05-21,shawn mendes
37,Don't Hurt Yourself,2016-05-21,beyonce
38,Grammys,2016-05-21,drake
39,One Call Away,2016-05-21,charlie puth
40,Still Here,2016-05-21,drake
41,Somewhere On A Beach,2016-05-21,dierks bentley
42,Lost Boy,2016-05-21,ruth b
43,Roses,2016-05-21,the chainsmokers
44,U With Me?,2016-05-21,drake
45,9,2016-05-21,drake
46,Don't,2016-05-21,bryson tiller
47,With You,2016-05-21,drake
48,Cheap Thrills,2016-05-21,sia
49,Childs Play,2016-05-21,drake
50,Think Of You,2016-05-21,chris young duet with cassadee pope
51,Humble And Kind,2016-05-21,tim mcgraw
52,Too Good,2016-05-21,drake
53,Feel No Ways,2016-05-21,drake
54,Weston Road Flows,2016-05-21,drake
55,Just Like Fire,2016-05-21,p!nk
56,Wild Things,2016-05-21,alessia cara
57,Cut It,2016-05-21,o.t. genasis
58,Ride,2016-05-21,twenty one pilots
59,"Huntin', Fishin' & Lovin' Every Day",2016-05-21,luke bryan
60,Snapback,2016-05-21,old dominion
61,Redemption,2016-05-21,drake
62,T-Shirt,2016-05-21,thomas rhett
63,Don't Mind,2016-05-21,kent jones
64,All Night,2016-05-21,beyonce
65,Freedom,2016-05-21,beyonce
66,Daddy Lessons,2016-05-21,beyonce
67,The Sound Of Silence,2016-05-21,disturbed
68,Keep The Family Close,2016-05-21,drake
69,Came Here To Forget,2016-05-21,blake shelton
70,Pray You Catch Me,2016-05-21,beyonce
71,Sandcastles,2016-05-21,beyonce
72,Faithful,2016-05-21,drake
73,Love Drought,2016-05-21,beyonce
74,True Colors,2016-05-21,zedd
75,Fire & Desire,2016-05-21,drake
76,Kiss It Better,2016-05-21,rihanna
77,All The Way Up,2016-05-21,fat joe
78,Mind Reader,2016-05-21,dustin lynch
79,Never Be Like You,2016-05-21,flume
80,My Church,2016-05-21,maren morris
81,Really Really,2016-05-21,kevin gates
82,Wicked,2016-05-21,future
83,Youth,2016-05-21,troye sivan
84,Uber Everywhere,2016-05-21,madeintyo
85,Might Not,2016-05-21,belly
86,Views,2016-05-21,drake
87,If It Ain't Love,2016-05-21,jason derulo
88,Team,2016-05-21,iggy azalea
89,Summer Sixteen,2016-05-21,drake
90,Light It Up,2016-05-21,major lazer
91,Promise,2016-05-21,kid ink
92,Body,2016-05-21,dreezy
93,Piece By Piece,2016-05-21,kelly clarkson
94,Head Over Boots,2016-05-21,jon pardi
95,Famous,2016-05-21,kanye west
96,Confession,2016-05-21,florida georgia line
97,I Like The Sound Of That,2016-05-21,rascal flatts
98,Father Stretch My Hands Pt. 1,2016-05-21,kanye west
99,I Hate U I Love U,2016-05-21,gnash
100,Law,2016-05-21,yo gotti
1,Can't Stop The Feeling!,2016-05-28,justin timberlake
2,One Dance,2016-05-28,drake
3,Panda,2016-05-28,desiigner
4,7 Years,2016-05-28,lukas graham
5,I Took A Pill In Ibiza,2016-05-28,mike posner
6,Work From Home,2016-05-28,fifth harmony
7,Don't Let Me Down,2016-05-28,the chainsmokers
8,Work,2016-05-28,rihanna
9,Pillowtalk,2016-05-28,zayn
10,Needed Me,2016-05-28,rihanna
11,Love Yourself,2016-05-28,justin bieber
12,My House,2016-05-28,flo rida
13,Stressed Out,2016-05-28,twenty one pilots
14,Never Forget You,2016-05-28,zara larsson
15,This Is What You Came For,2016-05-28,calvin harris
16,Dangerous Woman,2016-05-28,ariana grande
17,Cake By The Ocean,2016-05-28,dnce
18,"Me, Myself & I",2016-05-28,g-eazy
19,No,2016-05-28,meghan trainor
20,H.O.L.Y.,2016-05-28,florida georgia line
21,Low Life,2016-05-28,future
22,Oui,2016-05-28,jeremih
23,Pop Style,2016-05-28,drake
24,Sorry,2016-05-28,justin bieber
25,2 Phones,2016-05-28,kevin gates
26,Close,2016-05-28,nick jonas
27,My Boo,2016-05-28,ghost town dj's
28,Let It Go,2016-05-28,james bay
29,Middle,2016-05-28,dj snake
30,Just Like Fire,2016-05-28,p!nk
31,Sorry,2016-05-28,beyonce
32,Exchange,2016-05-28,bryson tiller
33,Lost Boy,2016-05-28,ruth b
34,Stitches,2016-05-28,shawn mendes
35,Controlla,2016-05-28,drake
36,Don't Mind,2016-05-28,kent jones
37,Cut It,2016-05-28,o.t. genasis
38,Cheap Thrills,2016-05-28,sia
39,One Call Away,2016-05-28,charlie puth
40,Somewhere On A Beach,2016-05-28,dierks bentley
41,Too Good,2016-05-28,drake
42,Roses,2016-05-28,the chainsmokers
43,Humble And Kind,2016-05-28,tim mcgraw
44,Came Here To Forget,2016-05-28,blake shelton
45,Ride,2016-05-28,twenty one pilots
46,Don't,2016-05-28,bryson tiller
47,Formation,2016-05-28,beyonce
48,Hold Up,2016-05-28,beyonce
49,Hype,2016-05-28,drake
50,T-Shirt,2016-05-28,thomas rhett
51,Wild Things,2016-05-28,alessia cara
52,All The Way Up,2016-05-28,fat joe
53,"Huntin', Fishin' & Lovin' Every Day",2016-05-28,luke bryan
54,Think Of You,2016-05-28,chris young duet with cassadee pope
55,Snapback,2016-05-28,old dominion
56,Still Here,2016-05-28,drake
57,My Church,2016-05-28,maren morris
58,Mind Reader,2016-05-28,dustin lynch
59,Never Be Like You,2016-05-28,flume
60,The Sound Of Silence,2016-05-28,disturbed
61,Really Really,2016-05-28,kevin gates
62,Kiss It Better,2016-05-28,rihanna
63,Grammys,2016-05-28,drake
64,Wasted Time,2016-05-28,keith urban
65,Wicked,2016-05-28,future
66,Childs Play,2016-05-28,drake
67,If It Ain't Love,2016-05-28,jason derulo
68,Uber Everywhere,2016-05-28,madeintyo
69,Might Not,2016-05-28,belly
70,Go Ahead And Break My Heart,2016-05-28,blake shelton
71,With You,2016-05-28,drake
72,Body,2016-05-28,dreezy
73,9,2016-05-28,drake
74,Feel No Ways,2016-05-28,drake
75,Light It Up,2016-05-28,major lazer
76,Ain't Your Mama,2016-05-28,jennifer lopez
77,Head Over Boots,2016-05-28,jon pardi
78,I Hate U I Love U,2016-05-28,gnash
79,Law,2016-05-28,yo gotti
80,U With Me?,2016-05-28,drake
81,Lights Come On,2016-05-28,jason aldean
82,6 Inch,2016-05-28,beyonce
83,Into You,2016-05-28,ariana grande
84,Piece By Piece,2016-05-28,kelly clarkson
85,Record Year,2016-05-28,eric church
86,You Don't Own Me,2016-05-28,grace
87,Moolah,2016-05-28,young greatness
